Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
VICTORIA;;-;Norway (Int. Register);yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
TENACIOUS;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
LE MEN DU;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
WHITE WHALE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
UKSA PRIORY;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
BOY LYNHAM PO18;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
DAKIRI 2;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
BRAINWAVE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
MOELBOEN;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
SEA TOY;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
SO LONG;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
MELMAR;;-;Belgium;general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;80.00;-;-;-;
JU 3;;-;Germany;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
NOORDSTER-WON62;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
EMULATE;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
WIGHT DIAMOND;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
SALAMMBO;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
BODIL;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
METIOR SURVEY;;-;Netherlands;dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;8.00;-;-;-;
Stena Hollandica;;9419163;Netherlands;passenger ro/ro;20'+ gt;2010;Live;Financial Partners Group Company Limited (FPG);Japan;;;Financial Partners Group Company Limited (FPG);Japan;;;FPG Shipholding Cyprus 1 Company Limited;Cyprus;;;Stena Line B.V.;Netherlands;;;Stena Line B.V.;Netherlands;;;Stena Line Service AB;Sweden;;;240.87;15.50;6.50;9.00;
LASSE;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
FRELAUR;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
BROWNSEA ENTERPRISE;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
FULL CIRCLE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
SEA HORSE;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
HENRIQUE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
FUJI;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;18.00;-;-;-;
CHERBOURG-PILOT-3;;-;France;pilot ship;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
Stena Britannica;;9419175;U.K.;passenger ro/ro;20'+ gt;2010;Live;Financial Partners Group Company Limited (FPG);Japan;;;Financial Partners Group Company Limited (FPG);Japan;;;Solt Holding Panama 90 SA;Panama;;;Stena AB;Sweden;;;Stena Line Limited;United Kingdom;;;Stena Line Service AB;Sweden;;;240.00;15.50;6.40;9.10;
BONITO;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
DYBINGEN;;-;Norway (Int. Register);general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
WR111 BREEHORN;;-;Netherlands;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;20.00;-;-;-;
ZILT;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
BROSMA;;-;Norway (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
TITAN DISCOVERY;;-;U.K.;dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
LUCI;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
BINQ;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
MODERNISTIC LADY;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
ASTURIAS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
VIS A VIS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
PRIDE OF MOTHER SEA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
JUST US;;-;Germany;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
JANKE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
AKKA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
WILLDART;;-;U.K.;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
FESTINA LENTE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
RUNNING ANGEL;;-;Denmark (Int. Register);yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;7.00;-;-;-;
RI 428 NORDKYSTEN;;-;Denmark;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
HAMBLE DAWN V;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
BEAR;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
JODILIAN;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
NORTH SHORE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
JACK A BOY;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
KATHRINE HELT;;-;Denmark;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
UGIE RUNNER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
WILD ROVER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
T72 LIMFJORDEN;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
APRES LE VENT;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
KNOT 4 SAIL;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
SACRE-COEUR;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
HAVNEVERN;;-;Norway (Int. Register);Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
JOLIE BRISE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
HEIDI;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
TRADITION H232;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
TEXELSTROOM;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
WAIATA;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
DK PILOT XVII;;-;France;pilot ship;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
DREAM MAKER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
LADY LEX;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;23.00;-;-;-;
HMS EXPLOIT;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
DEEP BLUE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
HG290 ANDREAS B;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
MONTIS 5;;-;Netherlands;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
ATHENA;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
TOVA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
SHAKTI;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
CARTE BLANCHE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
PASSAAT;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
KETELBINKIE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
GRACE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
PAVIA;;-;Denmark (Int. Register);fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;9.00;-;-;-;
MON AMI;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
WINDSHIFT;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
Spyder;;9853319;Belgium;chemical tanker;Unknown size;2018;Live;Ortus S.A.;Luxembourg;;;Ortus S.A.;Luxembourg;;;Ortus S.A.;Luxembourg;;;Ortus S.A.;Luxembourg;;;Ortus S.A.;Luxembourg;;;-;-;;;110.00;-;4.50;-;
DEMON;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
AQUARIUS OF CAWSAND;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
L'OMERTA;;-;France;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
MINT JULEP;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
FAUX PAS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
GIRL RACHAEL;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
AVANT GARDE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
BOOTLEGGER 2;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
LES TROIS MOUSSES;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
NOTRE AMOUR;;-;France;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
PROTEGE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
DOLER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
CROQUE SOUS TWO;;-;France;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
STORM;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;20.00;-;-;-;
CORIOLIS;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;10.00;-;-;-;
ROCKHOPPER OF PERCUE;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
ZEST;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
TWISTER;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
RIB-KRST480-005/14;;-;Denmark (Int. Register);Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;5.00;-;-;-;
SY LILY OF HAMBLE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
60-ONE;;-;Belgium;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
JOYFUL SPIRIT;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
SIBIN;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
VADEHAVET;;-;Denmark (Int. Register);general cargo;Unknown size;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
TIARA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
CORACLE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
STEPHANIE;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;30.00;-;-;-;
HMS ARCHER;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
LINDE;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;17.00;-;-;-;
ISIS;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
SOLENT DREAM;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
HORATIO;;-;U.K.;pilot ship;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
RAMSHOLM;;-;Norway (Int. Register);tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;18.00;-;-;-;
ENDURANCE;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
MAVERICK OF WEYMOUTH;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
CHICKADEE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;12.00;-;-;-;
SOLENT BLUE;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;15.00;-;-;-;
VESTA;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
SILVER FERN MT99;;-;U.K.;fishing (general);Fishing;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
SHANDE III;;-;U.K.;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;11.00;-;-;-;
MUDDI;;-;Denmark (Int. Register);yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;16.00;-;-;-;
BUFFALO;;-;U.K.;tug;Tug;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
CELTIC WARRIOR;;-;U.K.;Vessel Type (unspecified);Miscellaneous;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;0.00;-;-;-;
FALCON SPIRIT;;-;U.K.;dredger;Other Service;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;14.00;-;-;-;
ZEEUWSE RAKKER;;-;Netherlands;yacht;Yacht;-;Live;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;AIS Unknown;-;;;-;-;;;-;-;;;13.00;-;-;-;
