Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Needles;;8995201;U.K.;hopper barge;Miscellaneous;1979;Live;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;Jenkins Marine Limited;United Kingdom;;;-;-;;;-;-;;;43.97;2.80;2.32;0.48;
Lola-I;;6721151;St. Vincent & Grenadines;bulk cement carrier;Small, -10'dwt;1967;Live;Bulk Loaders AS;Norway;;;Bulk Loaders AS;Norway;;;Lola 1 AS;Norway;;;UAB Ortelius;Republic of Lithuania;;;UAB Ortelius;Republic of Lithuania;;;-;-;;;54.94;5.50;3.62;1.88;
Hunter;;9468372;Denmark (Int. Register);tug;Tug;2008;Live;NOH Svendborg Holding Aps;Denmark;;;Svendborg Bugser A/S (Svendborg Towing Company Limited);Denmark;;;Rederiet Junior ApS;Denmark;;;Svendborg Bugser A/S (Svendborg Towing Company Limited);Denmark;;;-;-;;;-;-;;;31.00;4.20;3.50;0.70;
Thor Brave;;9474797;Singapore;bulk carrier;Supramax, 50'-60'dwt;2012;Live;Thoresen Thai Agencies Public Company Limited;Thailand;;;Thoresen Thai Agencies Public Company Limited;Thailand;;;Thoresen Shipping Singapore Private Limited;Republic of Singapore;;;Thoresen And Company (Bangkok) Limited;Thailand;;;Thoresen And Company (Bangkok) Limited;Thailand;;;-;-;;;190.00;17.50;12.60;4.90;
Seven Atlantic;;9419125;Isle of Man;support;Offshore;2010;Live;Subsea 7 S.A.;Luxembourg;;;Subsea 7 Offshore Resources (UK) Limited;United Kingdom;;;Subsea 7 Limited;United Kingdom;;;Subsea 7 International Contracting Limited;United Kingdom;;;Subsea 7 International Contracting Limited;United Kingdom;;;-;-;;;144.79;12.00;7.00;5.00;
T10;;-;Belgium;barge;Miscellaneous;2007;Live;Seadrill Limited;United Kingdom;;;Seadrill Asia Limited;Republic of Singapore;;;Seadrill Asia Limited;Republic of Singapore;;;Seadrill Asia Limited;Republic of Singapore;;;-;-;;;-;-;;;98.00;-;-;-;
Capewater;;9423841;Netherlands;Combined chemical and oil tanker;5'-10'dwt;2009;Live;Clearwater Group;Netherlands;;;Capewater CV;Netherlands;;;Capewater CV;Netherlands;;;Clearwater Ship Management B.V.;Netherlands;;;Clearwater Ship Management B.V.;Netherlands;;;GEFO Gesellschaft fur Oeltransporte mbH;Germany;;;99.98;8.20;6.74;1.48;
Prague;;9421324;Liberia;Combined chemical and oil tanker;20'+ dwt;2008;Live;Gialozoglou family;Greece;;;IMS S.A.;Greece;;;Lima Maritime Corporation;Liberia;;;IMS S.A.;Greece;;;IMS S.A.;Greece;;;-;-;;;183.20;18.20;12.60;5.67;
Dylan;;9421336;Liberia;Combined chemical and oil tanker;20'+ dwt;2009;Live;Unknown Owners;-;;;Unknown Owners;-;;;Kurdran Shipping Company Limited;Hong Kong, S.A.R., China;;;Seacon Tankers Shipmanage Private Limited;Republic of Singapore;;;Seacon Tankers Shipmanage Private Limited;Republic of Singapore;;;-;-;;;183.20;18.20;12.60;5.61;
Eems Sky;;9421647;Netherlands;general cargo;-5'dwt;2008;Live;Royal Amasus Hansen Groep;Netherlands;;;Amasus Shipping B.V.;Netherlands;;;Eems Sky BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;-;-;;;87.27;5.85;4.26;1.59;
H&S Patience;;9421659;Netherlands;general cargo;-5'dwt;2008;Live;Royal Amasus Hansen Groep;Netherlands;;;Amasus Shipping B.V.;Netherlands;;;Eems Star BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;-;-;;;87.27;5.85;4.26;1.60;
Heyn;;9423671;Netherlands;general cargo with container capacity;-5'dwt;2008;Live;Wagenborg Shipping B.V.;Netherlands;;;Wagenborg Shipping B.V.;Netherlands;;;Heyn B.V.;Netherlands;;;Concurrent Shipmanagement BV;Netherlands;;;Concurrent Shipmanagement BV;Netherlands;;;-;-;;;89.99;8.00;5.30;2.70;
MSC Kalina;;9399026;Panama;fully cellular containership;VLCS, 12'-14.5'TEU;2009;Live;Mediterranean Shipping Company S.A. (MSC);Switzerland;;;Mediterranean Shipping Company S.A. (MSC);Switzerland;;;Compania Naviera Kalina S.A.;Panama;;;Mediterranean Shipping Company (MSC) S.r.l.;Italy;;;Mediterranean Shipping Company (MSC) S.r.l.;Italy;;;-;-;;;366.07;29.90;17.50;12.40;
Swiss Emerald;;-;Switzerland;passenger (cruise);Unknown size;2006;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;1.60;-;
CMA CGM Moliere;;9401099;Malta;fully cellular containership;Post Panamax, 5'-8'TEU;2009;Live;Danaos Corporation;Greece;;;Danaos Shipping Company Limited;Greece;;;Boxcarrier No.1 Corporation;Liberia;;;Danaos Shipping Company Limited;Greece;;;Danaos Shipping Company Limited;Greece;;;CMA CGM SA (The French Line);France;;;299.97;24.20;14.50;9.70;
